,name,rating,reviews,field,employees,ctype,old,location
3033,The Dow Chemical Company,4.3,217,Chemicals , 1k-5k Employees , 66 years old , Midland +12 more,
3034,ABI Showatech,3.9,217,Auto Components , 1k-5k Employees , 32 years old , Chennai +9 more,
3035,Syncfusion,3.7,217,Software Product , 1k-5k Employees , 22 years old , Morrisville +2 more,
3036,Hollister Medical,4.1,217,Medical Equipment , 51-200 Employees , 102 years old , Illinois +7 more,
3037,Ambuja Neotia,4.1,217,Real Estate , 501-1k Employees , 33 years old , Kolkata +12 more,
3038,D.p. Jain & Co. Infrastructure Pvt .,3.5,217,Engineering & Construction , 201-500 Employees , 49 years old , Nagpur +26 more,
3039,SGSL ( Suzlon Global Services Ltd ),4.0,217,51-200 Employees , Pune +35 more,,,
3040,Khimji Ramdas,4.1,216,Other , 201-500 Employees , 153 years old , Muscat +24 more,
3041,Aptus Value Housing Finance India,4.2,216,NBFC , 1k-5k Employees , 14 years old , Chennai +87 more,
3042,Shriram Chits,3.8,216,Financial Services , 1k-5k Employees , 49 years old , Mumbai +77 more,
3043,Bhilai Engineering Corporation,4.0,216,Industrial Machinery , 501-1k Employees , Public , 63 years old , Bhilai/Bhillai +20 more
3044,Adama,4.2,216,Agro Chemicals , 201-500 Employees , 14 years old , Tel Aviv +49 more,
3045,Solartis Technology Services,3.7,216,IT Services & Consulting , 51-200 Employees , 19 years old , Manhattan Beach +2 more,
3046,Richa Global Export,3.9,216,Fashion & Textile , 10k-50k Employees , 32 years old , Gurgaon/Gurugram +8 more,
3047,Watertec India,4.2,216,Building Material , 1k-5k Employees , 26 years old , Coimbatore +47 more,
3048,Stanley Black & Decker,3.9,216,Industrial Machinery , 1k-5k Employees , Forbes Global 2000 , 180 years old , New Britain +17 more
3049,Shree Baidyanath Ayurved Bhawan,3.8,216,Pharma , 501-1k Employees , 106 years old , Allahabad/Prayagraj +28 more,
3050,Shah Technical Consultants,3.4,215,Telecom , 51-200 Employees , 14 years old , Mumbai +47 more,
3051,Walchandnagar Industries,3.8,215,Industrial Machinery , 1k-5k Employees , Public , 115 years old , Mumbai +10 more
3052,Tega Industries,3.8,215,Industrial Machinery , 501-1k Employees , Public , 47 years old , Kolkata +15 more
3053,Etisalat,3.5,215,Telecom , 1k-5k Employees , Public , 47 years old , Abu Dhabi +11 more
3054,Azure Power,3.9,215,Power , 501-1k Employees , 15 years old , Delhi +17 more,
3055,IVTL Infoview Technologies,3.5,215,IT Services & Consulting , 51-200 Employees , 23 years old , Chennai +3 more,
3056,SALARPURIA SATTVA,4.3,215,Real Estate , 1k-5k Employees , 37 years old , Bangalore/Bengaluru +12 more,
3057,Thyssenkrupp Industrial Solutions,4.2,215,Industrial Machinery , 1k-5k Employees , 164 years old , Essen +14 more,
3058,Flyjac Logistics,4.2,215,Logistics , 501-1k Employees , 33 years old , Chennai +40 more,
3059,Indian Political Action Committee,2.9,215,Other , 201-500 Employees (Global) , 8 years old , Hyderabad/Secunderabad +15 more,
3060,Gartner India Research and Advisory Services,4.2,215,Analytics & KPO , 1k-5k Employees , 71 years old , Stamford +7 more,
3061,Theme Engineering Services,3.6,215,Engineering & Construction , 501-1k Employees , 21 years old , Jaipur +65 more,
3062,Titan Laboratories,3.7,215,Pharma , 201-500 Employees , 19 years old , Mumbai +12 more,
3063,Mahindra Lifespace Developers,4.1,215,Real Estate , 201-500 Employees , Public , 29 years old , Mumbai +20 more
3064,The Hershey Company,4.1,215,Food Processing , 201-500 Employees , Forbes Global 2000 , 129 years old , Derry Township +39 more
3065,Global Aluminium,3.9,215,1k-5k Employees , 26 years old , Hyderabad/Secunderabad +8 more,,
3066,NTT Global Networks,4.3,215,Telecom , 501-1k Employees , Public , 23 years old , Greenwood Village +22 more
3067,Sub-K IMPACT Solutions,4.2,215,Financial Services , 1k-5k Employees , 13 years old ,  Hyderabad +74 more,
3068,Espire Infolabs,2.8,215,IT Services & Consulting , 501-1k Employees , 22 years old , Gurgaon/Gurugram +4 more,
3069,Seven Hills Hospital,3.8,214,Healthcare , 501-1k Employees , 37 years old , Mumbai +10 more,
3070,Military Engineer Services,4.4,214,Engineering & Construction , 51-200 Employees , Public , 100 years old , Delhi/NCR +55 more
3071,Micron Technology,3.6,214,Semiconductors , 1k-5k Employees , Forbes Global 2000 , 45 years old , Boise +5 more
3072,Oberoi Realty,3.8,214,Real Estate , 501-1k Employees , Public , 43 years old , Mumbai +6 more
3073,Synopsys,4.4,214,Software Product , 1k-5k Employees , Public , 37 years old , Mountain View +9 more
3074,Allana Group of Companies,3.8,214,Food Processing , 5k-10k Employees , 158 years old , Mumbai +25 more,
3075,Freyr Solutions,3.6,214,Pharma , 5k-10k Employees , 16 years old , Princeton,
3076,Citykart Retail,4.1,214,Retail , 201-500 Employees , Startup , 7 years old , Delhi +48 more
3077,Four Points By Sheraton,4.6,214,Hospitality , 501-1k Employees , 28 years old , Bethesda +28 more,
3078,MAQ Software,2.4,214,IT Services & Consulting , 501-1k Employees , 23 years old , Redmond +5 more,
3079,Arabian Construction Company,4.1,214,Engineering & Construction , 10k-50k Employees , 56 years old , Beirut +23 more,
3080,Citykart Retail,4.1,214,Retail , 201-500 Employees , Startup , 7 years old , Delhi +48 more
3081,OptimHire,3.9,214,IT Services & Consulting , 51-200 Employees , 5 years old , Union City +3 more,
3082,Sabre,3.9,214,Software Product , 1k-5k Employees , 63 years old , Southlake +9 more,
3083,Rolta India,2.9,213,IT Services & Consulting , 501-1k Employees , Public , 34 years old , Mumbai +11 more
3084,Agarwal Packers and Movers Limited,3.5,213,Logistics , 5k-10k Employees , Public , 36 years old , Delhi/NCR +36 more
3085,QBurst Technologies,4.6,213,IT Services & Consulting , 1k-5k Employees , 19 years old , Chantilly +9 more,
3086,Infocepts Technologies,3.2,213,IT Services & Consulting , 1k-5k Employees , 19 years old , Washington DC +5 more,
